Summary,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Rate
"We used this airline to go from Singapore to London Heathrow. We had issues with tickets as they cancelled one of the tickets and trying to get it sorted cost a lot of money due to roaming charges for the lengthy phone calls which were needed to get the ticket reinstated and them trying to charge varying amounts to resolve it. This was a very poor service. 

We got to the airport and had to check in at the desk due to this issue which meant online check in couldn't be done. We were in premium economy which was spacious, two seats on either side of the plane and 3 seats in the middle. The plane seemed relatively new but not brand new. Legroom was good, seats were wider and had bigger arm rest in between the two seats which had the fold away tray tables in. There was a good choice of movies and other things such as TV shows, games etc. The food was ok, didn't seem to be much different from economy standard. The flight crew seemed friendly enough. They didn't really go up and down the isles with drinks only maybe twice for the whole 13-14 hour flight, which on other airlines they would have done it quite often.

Overall the flight was ok, seats were comfy, legroom good. Food was ok. The flight crew could have been more attentive especially with it being premium economy, you would expect the service to be slightly better than economy.",0.019,0.871,0.109,0.9781,0.1950875073671341,0.41383007168769836,0.39108240604400635,3
"The service on Singapore Airlines Suites Class was nothing but excellent. The cabin crew was warm and friendly and, most importantly, came across as sincere and genuine. Throughout the flight, I interacted with Leading Stewardess Sharifah the most, who went all the way out to ensure we were comfortable and well taken care of. I saw her patrolling the cabin consistently to check if we needed anything(I could see her looking into the Suite), and she was always read y to assist us. She even offered to make up our bed after the breakfast run so that we could rest. When I asked if I could walk around both decks of the aircraft, Sharifah volunteered to show me around. She was very knowledgeable about the configurations in the A380 aircraft and even pointed to the best seats in each cabin class as we walked through. 

The Suites Class cabin resembles the private cabins onboard sleeper trains, which gives Suites Class passengers some form of privacy. The cut holes on the cabin doors, in the shape of a flower design, somewhat reduce the privacy we got in the Suites Class cabins. There are two lavatories at the front of the aircraft catering to the six Suites Class passengers. The lavatory on the right is the bigger of the two, featuring a vanity table between the toilet and the sink.  There is plenty of space in this lavatory for passengers to change into the Lalique pyjamas provided to Suites Class passengers. The lavatory on the left was smaller but no less luxurious. Passengers using this lavatory can still find it spacious to change in and out of their pyjamas. This lavatory still provides the same amenities as the larger lavatory. 

Not all suites have the same size. The biggest are the foremost Suites (1A and 1F), about 5m2; the smallest (3A and 3F) are the aftmost Suites measuring 3.3m2. I occupy the middle Suite (2A) with 4m2 of real estate. Each Suite is fitted with both a chair and a bed.  The walls of the Suite were printed with floral designs that enhanced the luxurious vibe and did not come across as being too loud or over the top, consistent with the design language of the cabin. A side table sits by the entrance of the Suite. The flight attendants use this side table to place our drinks or snacks without needing to deploy the table.  The table is solid and huge, providing tons of space for Suites Class passengers.  The table can be swivelled for passengers to get in and out of the seat without stowing it away. 

The seat was the first thing that caught my eye when I entered my Suite and is very comfortable. An oversized pillow is placed onto the seat to provide passengers with greater comfort, especially in reclined mode. The seat measures 35"" wide and can recline up to 45°. The calf rest of the seat can only be deployed when the seat is swivelled to face the TV or the front of the aircraft (the green light on the control panel would light up to indicate calf rests can be deployed). Swivelling of the seat is controlled electronically via the control panel built into the left side of its armrest or the tablet provided in the Suite. There are two power sockets that came fitted with USB-A charging outlets in the Suite, one at the side of the side table at the entrance of the Suite and another on the storage cubby by the window. Singapore Airlines Suites Class features a bed in the Suite on top of the comfortable seat. Singapore Airlines uses Lalique bedding for the bed. I found the bed was very sturdy, lacking in terms of comfort. The mattress padding was a tad thin and lacked cushioning. The two pillows that came with the bed were too soft for my liking. 

There is no lack of storage space in the Suites Class onboard Singapore Airlines. Besides the pockets and shelving on the bulkheads and the seat, there is a small wardrobe by the door. Due to the slim design of the wardrobe, a limited amount of things can be stowed here. There is space in the wardrobe for passengers to hang their jackets. The bottom part of the wardrobe allowed me to stow away my backpack. More storage is fitted into the bulkhead of the Suite. Due to the shallow design of these cubbies, I could only use them to store smaller items. Singapore Airlines designed an open shelving space with a single leather strap beneath the cubby holes. Singapore Airlines fitted a 32"" HD touchscreen TV in the Suite. The TV can be swivelled with a touch of a button either on the seat or from the tablet to face the passengers when sitting on the seat. There are two IFE controllers in the Suite; a smaller one is stowed in the seat's armrest, which I found very intuitive to use. The other IFE controller is via tablet in the Suite.",0.023,0.903,0.075,0.9935,0.01197671890258789,0.27613702416419983,0.7118862271308899,5
"Booked, paid and received email confirmation for extra legroom seats 10 Dec. 4 Feb checked and seas were gone. They resold our paid for seats and put us in standard seats. I have a spine support device that means I require the extra space. Couldn’t use it and had a 13 1/2 hour flight. I exited in a wheelchair unable to walk for my three week holiday. Tried 37 times to reach them, Philippines call centre is appalling.",0.033,0.882,0.086,0.4588,0.9045141339302063,0.0855548158288002,0.009931031614542007,1
"Best airline in the world, seats, food, service are all brilliant.  The crew are friendly and welcoming.  We love flying with Singapore Airlines",0.0,0.496,0.504,0.9601,0.0017520289402455091,0.006744368001818657,0.9915035963058472,5
"Premium Economy Seating on Singapore Airlines has narrow seats and poor leg room compared to Air NZ or Virgin.  Drinks served in plastic beakers, roast chicken tough as was the meat in the noodle dinner.  Orange juice concoction was not a premium offering.  Toilets - we had to walk half way back down the Economy cabin to queue for the toilet.  One toilet on the plane was not working. Having flown with Air NZ the day before the difference in amenities and poor value for money was apparent with Singapore Airlines.  Poor Kris Flyer website if you wish to upgrade it doesn't work!",0.1,0.854,0.046,-0.7177,0.8728033304214478,0.11254264414310455,0.014653957448899746,2
"We booked our flights a full 9 months in advance and paid well over $11,000 for a trip in 2 weeks time. we then booked our trip around the flights. Over the past 2 months they changed our flights over 6 times resulting in over 15 hours of stop overs and delays, making the trip almost 32 hours long.
We booked through flight centre and paid the extra to be able to cancel the flights.
Now we're having to fight tooth and nail just  to get a response let alone our money back. 
We're now at the unenvious point of paying for litigation to reclaim our funds that they have had for 9 months to use as they wish.
I have flown well over 30 times with this airline and our business and family hundreds of times but this is the end of our relationship and we will never fly or recommend them again.
Such poor integrity.",0.091,0.856,0.052,-0.6445,0.8185054063796997,0.15980099141597748,0.021693585440516472,1
"This was a fascinating experience. As I sat into my seat, the stewardess offered me a warm towel and I felt very very welcomed. They treat you too well haha. The seats were comfortable. They even gave me a teddy bear haha idk why.",0.026,0.554,0.42,0.9654,0.0017359317280352116,0.006656582001596689,0.9916075468063354,5
"Very bad expeirence for flight check in at baiyun airport! It took one hour plus to Q. Only 5 counters for economy class and 2 for business class. Lousy, no more SQ in my life!",0.251,0.749,0.0,-0.8772,0.955490231513977,0.039499588310718536,0.005010123830288649,1
"Respected Faculty, I am Bincy, writing this  to file a complaint regarding a cancellation of the connection flight of Singapore airlines and the irresponsible service from Singapore airlines airport staff members at Singapore .My parents 67 yr old Dad as 63 yr old Mom travelled from Brisbane airport in Singapore airlines  SQ236 yesterday at 14.45 hrs and arrived at Singapore airport at 20.25hrs yesterday late evening. Then only they were informed that the connection flight SQ 536 which was booked and  confirmed, has got cancelled and they have to wait until next day night. This was not informed to us in any form of communication. 
And secondly, though my parents are very older with so many health issues, (my parents are Diabetic also, taking insulin and my parents have high blood pressure, taking medications)but they had to wait in airport in a chair without any support for 24 hours without any food especially when they are from a non English speaking background. The mental stress and physical discomforts for 24 hours they were gone through are unimaginable and we cannot express it to the full extent. They didn't get any emotional or physical support from staffs at Singapore airport.They didn't arrange any room to rest or any proper lounge and not even any food for 24 hours (my parents were not prepared to stay at airport for more than 4 hours as  we booked the tickets with least transit time at Singapore airport)
We had a trust in the services of Singapore airlines, and so we booked the flight for our parents with much confidence. 
We booked the tickets through an agency Sanjo travels in India but we got the confirmation that Singapore airlines didn't inform the agency as well. So it's completely the mistake from Singapore Airlines.",0.064,0.906,0.03,-0.6737,0.7866054773330688,0.19476546347141266,0.01862906850874424,1
"I would rate Singapore airlines the worse I have ever travelled with.
The only plus was we left on time & arrived on time.
Firstly no one  brought headsets had to ask for one.
The bfst omelette was awful part yellow part brown, the rest inedible. 
The milk & butter if you get any! Now comes in liquid form squeeze tubes.
No decaffeinated coffee no hot chocolate.
We then had a wait of nearly 11 hrs without food, I went to the galley hoping to get a sandwich but all that was available was banana or kitkat!!!
Other than trays water nothing was brought around in the 11 hrs!! No choice of juice.
The films available where limited & not up to date.
Dinner eventually arrived again inedible no before dinner drinks , the trolley had a choice red wine or white wine ( Chardonnay) but you only got half a plastic cup of wine no repeats!!
I believe this cost cutting is to their detriment. Out of choice would never travel with them again.",0.128,0.861,0.011,-0.9487,0.8489261865615845,0.12844404578208923,0.022629836574196815,1
